netID,score
holist,0.3113220338983049
holist,0.3556610169491524
holist,0.32105084745762685
holist,0.34898305084745734
holist,0.3151186440677966
holist,0.3560338983050846
holist,0.3540338983050846
holist,0.34142372881355904
holist,0.310101694915254
holist,0.2998305084745761
random,0.5770508474576271
random,0.5706779661016949
random,0.5602372881355928
random,0.5544067796610169
random,0.5800338983050849
random,0.5737966101694915
random,0.5654576271186437
random,0.5589491525423727
random,0.5849491525423725
random,0.5770169491525423
synergist,0.6209152542372877
synergist,0.6390508474576269
synergist,0.6175593220338988
synergist,0.6075593220338984
synergist,0.6153559322033895
synergist,0.6135254237288136
synergist,0.6146101694915255
synergist,0.6072881355932198
synergist,0.636576271186441
synergist,0.6128135593220342
usnews,0.26800000000000007
usnews,0.27176271186440665
usnews,0.27833898305084737
usnews,0.2717966101694915
usnews,0.30738983050847457
usnews,0.24647457627118644
usnews,0.27183050847457635
usnews,0.26227118644067804
usnews,0.244406779661017
usnews,0.2714237288135594
usnews,0.2604745762711864
usnews,0.24701694915254235
usnews,0.2558983050847457
usnews,0.25694915254237294
usnews,0.2657966101694916
usnews,0.29061016949152535
usnews,0.27938983050847466
usnews,0.26816949152542363
usnews,0.2557627118644068
usnews,0.2645762711864409
usnews,0.26589830508474577
usnews,0.2453898305084746
usnews,0.2747796610169492
usnews,0.2389830508474577
usnews,0.27427118644067794
areaApproachTest,0.12681355932203414
areaApproachTest,0.12349152542372911
areaApproachTest,0.12457627118644095
areaApproachTest,0.12718644067796633
